linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
60,40,4,32,28,18.00,6.973,0.1694,0.6053,0.377,0.0694,0.0947,0.0936
35,65,6,30,24,18.00,6.957,0.1693,0.6072,0.393,0.0693,0.0928,0.0937
40,60,0,44,44,22.00,8.558,0.1507,0.7090,1.208,0.0507,0.0090,0.0940
35,65,2,42,40,22.00,8.623,0.1498,0.6957,1.273,0.0498,0.0043,0.0950
60,40,0,44,44,22.00,8.543,0.1505,0.6856,1.193,0.0505,0.0144,0.0950
55,45,0,44,44,22.00,8.575,0.1504,0.6878,1.225,0.0504,0.0122,0.0957
70,30,6,34,28,20.00,7.806,0.1566,0.5869,0.456,0.0566,0.1131,0.0964
45,55,8,32,24,20.00,7.806,0.1566,0.5869,0.456,0.0566,0.1131,0.0964
40,60,8,32,24,20.00,7.806,0.1566,0.5869,0.456,0.0566,0.1131,0.0964
30,70,4,40,36,22.00,8.511,0.1514,0.6784,1.161,0.0514,0.0216,0.0965
35,65,0,44,44,22.00,8.527,0.1517,0.7189,1.177,0.0517,0.0189,0.0965
65,35,0,44,44,22.00,8.495,0.1519,0.6764,1.145,0.0519,0.0236,0.0967
70,30,3,39,36,21.00,8.174,0.1533,0.6323,0.824,0.0533,0.0677,0.0969
45,55,2,42,40,22.00,8.559,0.1503,0.6815,1.209,0.0503,0.0185,0.0971
65,35,4,32,28,18.00,6.957,0.1698,0.5981,0.393,0.0698,0.1019,0.0972
40,60,2,42,40,22.00,8.623,0.1492,0.6883,1.273,0.0492,0.0117,0.0973
70,30,4,32,28,18.00,7.005,0.1694,0.5895,0.345,0.0694,0.1105,0.0976
45,55,6,30,24,18.00,7.005,0.1694,0.5895,0.345,0.0694,0.1105,0.0976
40,60,6,30,24,18.00,7.005,0.1694,0.5895,0.345,0.0694,0.1105,0.0976
50,50,6,30,24,18.00,7.021,0.1690,0.5861,0.329,0.0690,0.1139,0.0977
50,50,5,37,32,21.00,8.206,0.1532,0.6336,0.856,0.0532,0.0664,0.0980
55,45,8,32,24,20.00,7.791,0.1577,0.5813,0.441,0.0577,0.1187,0.0982
50,50,8,32,24,20.00,7.822,0.1570,0.5840,0.472,0.0570,0.1160,0.0984
75,25,6,34,28,20.00,7.807,0.1572,0.5820,0.457,0.0572,0.1180,0.0985
40,60,1,33,32,17.00,6.557,0.1725,0.6550,0.793,0.0725,0.0450,0.0989
30,70,0,44,44,22.00,8.543,0.1515,0.7242,1.193,0.0515,0.0242,0.0991
55,45,5,37,32,21.00,8.206,0.1528,0.6295,0.856,0.0528,0.0705,0.0992
75,25,4,32,28,18.00,7.006,0.1691,0.5844,0.344,0.0691,0.1156,0.0992
60,40,5,37,32,21.00,8.174,0.1538,0.6259,0.824,0.0538,0.0741,0.0995
60,40,8,32,24,20.00,7.807,0.1580,0.5804,0.457,0.0580,0.1196,0.0995
60,40,6,30,24,18.00,7.005,0.1687,0.5828,0.345,0.0687,0.1172,0.0995
50,50,2,42,40,22.00,8.574,0.1503,0.6763,1.224,0.0503,0.0237,0.0997
35,65,4,40,36,22.00,8.543,0.1512,0.6728,1.193,0.0512,0.0272,0.0999
65,35,5,37,32,21.00,8.142,0.1532,0.6190,0.792,0.0532,0.0810,0.0999
55,45,6,30,24,18.00,6.989,0.1695,0.5837,0.361,0.0695,0.1163,0.1004
45,55,1,33,32,17.00,6.557,0.1726,0.6509,0.793,0.0726,0.0491,0.1004
75,25,3,39,36,21.00,8.191,0.1533,0.6240,0.841,0.0533,0.0760,0.1006
50,50,1,33,32,17.00,6.605,0.1733,0.6432,0.745,0.0733,0.0568,0.1011
70,30,0,44,44,22.00,8.543,0.1518,0.6693,1.193,0.0518,0.0307,0.1014
55,45,2,42,40,22.00,8.558,0.1517,0.6701,1.208,0.0517,0.0299,0.1019
65,35,8,32,24,20.00,7.791,0.1582,0.5714,0.441,0.0582,0.1286,0.1020
75,25,0,44,44,22.00,8.559,0.1511,0.6677,1.209,0.0511,0.0323,0.1024
60,40,2,42,40,22.00,8.543,0.1521,0.6663,1.193,0.0521,0.0337,0.1027
65,35,6,30,24,18.00,6.990,0.1688,0.5743,0.360,0.0688,0.1257,0.1033
55,45,1,33,32,17.00,6.605,0.1742,0.6386,0.745,0.0742,0.0614,0.1033
35,65,3,31,28,17.00,6.605,0.1742,0.6386,0.745,0.0742,0.0614,0.1033
30,70,3,31,28,17.00,6.605,0.1742,0.6386,0.745,0.0742,0.0614,0.1033
70,30,8,32,24,20.00,7.776,0.1580,0.5627,0.426,0.0580,0.1372,0.1041
40,60,4,40,36,22.00,8.575,0.1520,0.6665,1.225,0.0520,0.0335,0.1042
45,55,4,40,36,22.00,8.543,0.1525,0.6611,1.193,0.0525,0.0389,0.1047
75,25,8,32,24,20.00,7.776,0.1582,0.5599,0.426,0.0582,0.1401,0.1052
75,25,5,37,32,21.00,8.175,0.1531,0.6075,0.825,0.0531,0.0925,0.1055
70,30,5,37,32,21.00,8.175,0.1531,0.6075,0.825,0.0531,0.0925,0.1055
60,40,1,33,32,17.00,6.572,0.1741,0.6350,0.778,0.0741,0.0650,0.1061
70,30,6,30,24,18.00,6.974,0.1689,0.5658,0.376,0.0689,0.1342,0.1072
40,60,3,31,28,17.00,6.604,0.1745,0.6280,0.746,0.0745,0.0720,0.1072
65,35,2,42,40,22.00,8.575,0.1520,0.6575,1.225,0.0520,0.0425,0.1073
75,25,6,30,24,18.00,6.972,0.1685,0.5625,0.378,0.0685,0.1375,0.1081
50,50,4,40,36,22.00,8.591,0.1520,0.6569,1.241,0.0520,0.0431,0.1084
30,70,6,38,32,22.00,8.592,0.1519,0.6540,1.242,0.0519,0.0460,0.1094
45,55,1,45,44,23.00,8.928,0.1485,0.7045,1.578,0.0485,0.0045,0.1096
55,45,4,40,36,22.00,8.560,0.1518,0.6481,1.210,0.0518,0.0519,0.1097
70,30,2,42,40,22.00,8.591,0.1514,0.6518,1.241,0.0514,0.0482,0.1098
35,65,6,38,32,22.00,8.591,0.1514,0.6518,1.241,0.0514,0.0482,0.1098
30,70,3,43,40,23.00,8.976,0.1479,0.7010,1.626,0.0479,0.0010,0.1104
65,35,1,33,32,17.00,6.540,0.1745,0.6272,0.810,0.0745,0.0728,0.1107
45,55,3,31,28,17.00,6.572,0.1746,0.6217,0.778,0.0746,0.0783,0.1111
40,60,6,38,32,22.00,8.559,0.1501,0.6405,1.209,0.0501,0.0595,0.1113
75,25,2,42,40,22.00,8.591,0.1507,0.6452,1.241,0.0507,0.0548,0.1116
60,40,4,40,36,22.00,8.575,0.1508,0.6432,1.225,0.0508,0.0568,0.1116
40,60,1,45,44,23.00,8.961,0.1481,0.7082,1.611,0.0481,0.0082,0.1122
65,35,4,40,36,22.00,8.559,0.1495,0.6369,1.209,0.0495,0.0631,0.1122
45,55,6,38,32,22.00,8.559,0.1495,0.6369,1.209,0.0495,0.0631,0.1122
50,50,1,45,44,23.00,9.008,0.1478,0.6980,1.658,0.0478,0.0020,0.1123
75,25,1,33,32,17.00,6.572,0.1745,0.6163,0.778,0.0745,0.0837,0.1129
70,30,1,33,32,17.00,6.572,0.1745,0.6163,0.778,0.0745,0.0837,0.1129
55,45,3,31,28,17.00,6.572,0.1745,0.6163,0.778,0.0745,0.0837,0.1129
50,50,3,31,28,17.00,6.572,0.1745,0.6163,0.778,0.0745,0.0837,0.1129
30,70,0,32,32,16.00,6.188,0.1756,0.6729,1.162,0.0756,0.0271,0.1129
60,40,1,45,44,23.00,8.942,0.1472,0.6849,1.592,0.0472,0.0151,0.1132
35,65,0,32,32,16.00,6.189,0.1754,0.6703,1.161,0.0754,0.0297,0.1137
55,45,1,45,44,23.00,8.974,0.1470,0.6876,1.624,0.0470,0.0124,0.1138
35,65,3,43,40,23.00,9.023,0.1479,0.6953,1.673,0.0479,0.0047,0.1141
65,35,1,45,44,23.00,8.895,0.1475,0.6758,1.545,0.0475,0.0242,0.1142
30,70,5,41,36,23.00,8.910,0.1475,0.6777,1.560,0.0475,0.0223,0.1143
35,65,1,45,44,23.00,8.928,0.1489,0.7179,1.578,0.0489,0.0179,0.1145
30,70,5,29,24,17.00,6.557,0.1746,0.6131,0.793,0.0746,0.0869,0.1148
60,40,3,31,28,17.00,6.571,0.1737,0.6081,0.779,0.0737,0.0919,0.1154
70,30,4,40,36,22.00,8.575,0.1496,0.6294,1.225,0.0496,0.0706,0.1157
35,65,5,29,24,17.00,6.556,0.1743,0.6096,0.794,0.0743,0.0904,0.1160
50,50,6,38,32,22.00,8.606,0.1487,0.6312,1.256,0.0487,0.0688,0.1161
45,55,3,43,40,23.00,8.959,0.1483,0.6806,1.609,0.0483,0.0194,0.1162
40,60,3,43,40,23.00,9.023,0.1479,0.6884,1.673,0.0479,0.0116,0.1165
30,70,1,45,44,23.00,8.943,0.1486,0.7234,1.593,0.0486,0.0234,0.1170
60,40,6,38,32,22.00,8.575,0.1497,0.6239,1.225,0.0497,0.0761,0.1177
55,45,6,38,32,22.00,8.606,0.1491,0.6269,1.256,0.0491,0.0731,0.1179
35,65,8,36,28,22.00,8.606,0.1491,0.6269,1.256,0.0491,0.0731,0.1179
30,70,8,36,28,22.00,8.606,0.1491,0.6269,1.256,0.0491,0.0731,0.1179
35,65,5,41,36,23.00,8.943,0.1478,0.6713,1.593,0.0478,0.0287,0.1183
65,35,3,31,28,17.00,6.556,0.1734,0.6014,0.794,0.0734,0.0986,0.1183
65,35,6,38,32,22.00,8.542,0.1495,0.6168,1.192,0.0495,0.0832,0.1184
50,50,5,29,24,17.00,6.619,0.1726,0.5896,0.731,0.0726,0.1104,0.1187
70,30,3,31,28,17.00,6.603,0.1730,0.5927,0.747,0.0730,0.1073,0.1187
45,55,5,29,24,17.00,6.603,0.1730,0.5927,0.747,0.0730,0.1073,0.1187
40,60,5,29,24,17.00,6.603,0.1730,0.5927,0.747,0.0730,0.1073,0.1187
50,50,3,43,40,23.00,8.974,0.1483,0.6748,1.624,0.0483,0.0252,0.1190
